PM10_GRIMM,PM25_GRIMM,PM1_GRIMM,PM10_OPC_N2_1,PM25_OPC_N2_1,PM1_OPC_N2_1,PM10_OPC_N2_2,PM25_OPC_N2_2,PM1_OPC_N2_2,PM25_NOVA,PM10_NOVA,PM25_EVM7,Temperature_dht11_1,RH_dht11_1,Temperature_dht11_2,RH_dht11_2,Temperature_kestrel,RH_kestrel,Wind_Speed_KESTREL
46.84,30,21.43,22.9,20.07,15.73,20.81,18,14.31,18.47,26.03,NA,33,59.06,34,52.53,33.46,51.33,0
45.45,31.05,21.54,22.5,19.79,15.65,22.84,18.36,14.5,18.82,25.48,NA,33,59,34,52.82,33.5,51.32,0
44.2,29.15,21.17,23.28,20.22,15.99,21.31,18.2,14.41,18.5,25.06,NA,33,59,34,52.59,33.5,51.53,0
44.84,30.72,21.61,21.8,19.78,15.67,20.58,17.3,13.84,18.67,24.62,NA,33,59,34,52.06,33.5,51.27,0
44.09,30.79,21.46,24.17,19.71,15.61,22.01,18.02,14.4,18.29,25.02,NA,33,59,34,52,33.5,51.22,0
43.95,31.27,21.3,22.43,19.91,15.98,20.69,18.12,14.44,18.4,26.5,NA,33,59,34,52.12,33.5,51.02,0
46.07,30.94,21.41,23.58,19.9,15.85,22.19,18.44,14.72,18.53,26.6,NA,33,59.78,34,53,33.5,51.53,0
46.14,30.99,21.39,23.42,19.87,15.69,22.63,18.15,14.51,18.61,25.22,NA,33,60,34,53,33.5,52.05,0
43.95,29.83,21.15,23.89,19.89,15.72,19.41,17.53,13.94,18.43,25.89,NA,33,60,34,53.29,33.5,52.35,0
45.23,31.45,21.46,22.01,19.93,15.93,20.78,18.15,14.39,18.52,26.49,NA,33,60,34,54,33.5,52.69,0
44.44,31.01,21.41,22.15,19.98,15.79,21.25,18.33,14.49,18.64,26.38,NA,33,60,34,54,33.5,52.72,0
44.53,30.45,21.1,21.56,19.54,15.59,19.99,18.03,14.34,18.32,23.75,NA,33,60,34,53.89,33.5,52.63,0
43.08,29.16,21,23.45,19.65,15.6,21.48,18.05,14.32,18.3,26.27,NA,33,60.53,34,54,33.56,52.73,0
44.97,29.87,21.17,22.33,19.43,15.24,20.44,17.74,14.12,18.12,24.09,NA,33,60.78,34,54,33.6,53.25,0
46.85,30.84,21.22,23.1,19.86,15.72,20.32,17.7,14.1,18.58,23.97,NA,33,60.64,34,54,33.6,53.33,0
43.2,30.02,21.14,21.27,19.56,15.46,19.46,17.47,14.04,18.67,25.66,NA,33,60.5,34,54,33.6,53.22,0
42.71,29.18,20.92,23.25,19.53,15.58,20.07,17.57,13.99,18.43,26.07,NA,33,60.75,34,54.38,33.6,53.38,0
45.95,30.12,21.02,21.75,18.95,15.02,20.96,17.79,14.13,18.21,24.97,NA,33,60.88,34,54.89,33.6,53.62,0
43.31,30.33,21.11,23.17,19.16,15.12,20.05,17.54,14.02,18.26,24.43,NA,33,60.94,34,54.25,33.6,53.57,0
45.54,31.08,21.25,21.27,18.92,15.15,21.33,17.53,13.91,18.28,24.61,NA,33,60.78,34,54.06,33.6,53.52,0
46.67,29.62,20.92,22.38,19.67,15.58,20.87,17.41,13.94,18.14,23.52,NA,33,60.38,34,54.65,33.6,53.56,0
48.61,32.26,21.44,23.44,20.04,15.72,20.07,17.78,14.22,18.08,24.17,NA,33.06,60.47,34,55,33.6,53.65,0
45.57,30.36,21.26,21.51,19.29,15.3,20.75,17.75,14.17,18.12,24.51,NA,33,60.94,34,55,33.6,53.88,0
41.77,29.35,20.77,23.39,19.45,15.41,20.6,17.78,14.07,18.23,24.9,NA,33.13,60.67,34,54.94,33.6,53.83,0
42.27,30.07,21,21.24,19.24,15.23,19.76,17.05,13.65,18.18,25.86,NA,33.19,60.94,34,54.44,33.6,53.64,0
42.9,29.29,20.57,22.79,19.5,15.57,20.39,17.6,14,17.78,23.43,NA,33,61,34,54.89,33.6,53.7,0
43.2,29.08,20.69,21.54,19.4,15.42,21.76,17.74,14.13,18.3,23.39,NA,33,61,34,54.75,33.64,53.63,0
42.17,30.32,20.85,20.65,19.09,15.37,19.73,17.1,13.59,17.84,22.62,NA,33,61,34,54.76,33.69,53.6,0
41.83,28.95,20.41,22.54,19.42,15.62,19.98,17.55,13.98,17.74,22.69,NA,33.06,61,34,55,33.7,53.69,0
41.73,28.45,20.3,21.08,19.39,15.53,18.96,17,13.66,17.85,22.33,NA,33,61,34,55,33.7,53.74,0
42.72,29.48,20.8,20.33,18.96,15.19,20.61,17.87,14.17,17.75,23.87,NA,33.12,61,34,55,33.7,53.83,0
42.85,30.53,20.72,22.48,19.44,15.45,19.15,17.41,13.95,18.18,24.4,NA,33,61,34,55,33.7,53.9,0
42.14,29.17,20.3,21.59,19.08,15.23,19.57,17.49,14.08,18.4,23.59,NA,33.06,61,34,55,33.7,53.86,0
40.39,29.6,20.42,19.93,18.43,14.78,20.49,17.33,13.8,17.75,24.71,NA,33.06,61.5,34,55,33.7,54.06,0
44.28,29.52,20.3,22.71,19.19,15.21,20.2,17.5,13.93,18.07,25.04,NA,33.07,61,34,55,33.7,54.11,0
44.01,29.28,20.33,20.38,18.83,14.99,19.89,16.73,13.36,17.5,23.51,NA,33.13,61.13,34,55,33.7,54.23,0
39.89,29.51,20.45,20.31,18.49,14.76,20.68,17.32,13.72,17.29,21.74,NA,33.33,61.73,34,55,33.7,54.3,0
40.42,28.63,20.36,20.88,19.05,15.15,19.48,17.14,13.79,17.17,22.78,NA,33.27,62,34,55.88,33.7,54.5,0
41.84,28.71,20.11,21.52,18.89,15.07,19.39,16.87,13.35,17.7,23.71,NA,33.5,62,34,56,33.7,54.7,0
42.86,28.68,20.36,22.26,19.01,15.12,19.93,17,13.56,17.6,23.1,NA,33.53,62,34,56,33.7,54.7,0
41,28.75,20.16,22.19,18.35,14.54,19.28,17.07,13.61,17.51,22.47,NA,33.6,62,34,56,33.71,54.75,0
38.54,28.52,20.18,20.83,18.4,14.57,19.81,17.01,13.56,17.66,23.42,NA,33.6,62,34,56,33.73,54.68,0
43.42,29.28,20.09,21.48,18.99,15.02,19.4,16.57,13.31,17.86,25.51,NA,33.37,62,34,56,33.78,54.84,0
38.05,28.64,20.01,20.72,18.94,15.04,19.78,17.29,13.81,17.67,23.67,NA,33.33,62.17,34,56,33.78,54.93,0
41.32,29.31,20.04,20.44,18.65,14.87,19.86,17.57,13.95,17.24,23.68,NA,33.5,62,34,56,33.8,55,0
41.7,28.81,19.95,20.95,19.01,15.1,18.6,16.93,13.48,17.21,23.06,NA,33.69,62,34,56,33.8,54.91,0
39.53,29.38,20.07,21.48,19.05,15.07,19.84,17.15,13.61,17.36,23.37,NA,33.82,62.06,34,56,33.8,54.94,0
41.1,27.84,19.67,20.65,18.21,14.53,18.93,16.72,13.44,16.85,22,NA,33.94,62.53,34,56,33.8,55,0
40.09,28.41,19.86,21.54,18.58,14.84,19.76,16.5,13.16,17.62,22.5,NA,33.95,63,34,56,33.8,55.1,0
37.88,28.08,19.62,20.21,18.55,14.91,18.5,16.88,13.49,16.49,20.67,NA,34,63,34,56,33.8,55.22,0
37.58,28.34,19.82,21.57,18.75,14.84,18.83,16.76,13.37,17.08,22.26,NA,34,62.93,34,56,33.8,55.28,0
38.06,27.67,19.77,20.2,18.04,14.42,18.3,16.68,13.29,17,23.83,NA,34,63,34,56,33.8,55.33,0
39.29,28.65,19.62,20.86,18.57,14.7,17.96,16.31,13.11,16.58,22.06,NA,33.94,63.33,34,56.65,33.8,55.43,0
43.12,29.28,19.55,20.82,18.11,14.36,19,16.61,13.13,16.68,22.44,NA,34,63.22,34,57,33.8,55.78,0
39.94,28.69,19.69,20.1,18.18,14.46,18.41,16.31,13.02,16.68,23.12,NA,34,63,34,57,33.8,55.98,0
40.84,28.28,19.64,21.44,17.99,14.41,18.34,16.26,13.06,16.89,22.47,NA,34,63,34,57,33.8,55.89,0
36.52,26.79,19.17,21.19,18.47,14.55,20.71,16.45,13.24,16.72,21.88,NA,34,63,34,57,33.8,55.75,0
39.45,28.43,19.44,20.31,17.92,14.36,17.57,16.13,12.84,16.78,21.3,NA,34,63,34,57,33.8,55.83,0
38.37,27.32,19.24,19.97,18.34,14.57,18.56,16.45,13.2,16.68,20.55,NA,34,63.06,34,57,33.8,55.88,0
40.2,27.98,19.26,20.32,18.65,14.86,19.15,16.08,12.85,16.46,20.81,NA,33.94,63.5,34,57,33.8,55.91,0
35.92,27.17,19.03,19.39,18,14.27,17.73,16.09,12.98,16.58,22.67,NA,33.94,64,34,57,33.81,56,0
37.94,27.5,19.11,20.48,18.23,14.54,20.53,16.69,13.26,16.59,22.57,NA,34,63.94,34,57,33.8,56.1,0
40.76,28.29,19.15,20.93,18.04,14.31,18.73,16.55,13.21,16.14,20.34,NA,33.94,64,34,57,33.83,56.13,0
36.94,26.49,18.84,19.64,17.8,14.13,18.71,16.44,13.19,16.55,22.03,NA,34,64,34,57,33.9,56.25,0
37.81,27.68,19.16,20.37,18.09,14.28,18.17,16.03,12.84,16.69,21.47,NA,34,64,34,57,33.9,56.26,0
37.04,27.64,18.88,19.35,17.78,14.2,18.03,16.15,12.95,16.41,22.21,NA,34,64,34,57,33.9,56.24,0
39,27.35,18.68,20.24,17.59,13.93,17.52,16.03,12.75,16.28,21.68,NA,34,64,34,57,33.9,56.2,0
37.93,27.11,18.74,20.36,17.81,14.09,18.26,15.67,12.52,16.47,21.23,NA,34,64,34,57,33.9,56.28,0
40.1,28.04,18.8,20.2,17.82,14.14,18.33,16.2,12.94,16.59,20.95,NA,34,64,34,57,33.9,56.35,0
